,sarimax,xgboost,lightgbm,var
2022-02-28,47.03025808927364,47.030315,46.14412441900457,46.93904117565139
2022-03-31,47.03025808927364,46.93449,46.038512562702486,46.89098371754936
2022-04-30,47.03025808927364,46.909237,46.05534516854849,46.84888899669702
2022-05-31,47.03025808927364,46.906708,46.00462823638509,46.81063947265079
2022-06-30,47.03025808927364,46.906708,46.0005445695005,46.77581585075758
2022-07-31,47.03025808927364,46.95026,45.97836896732739,46.74410804243658
2022-08-31,47.03025808927364,46.95026,45.9593413003715,46.71523710897473
2022-09-30,47.03025808927364,46.952473,45.9593413003715,46.68894922989744
2022-10-31,47.03025808927364,46.952473,45.9593413003715,46.66501330148928
2022-11-30,47.03025808927364,46.952473,45.9593413003715,46.64321889702211
2022-12-31,47.03025808927364,46.952473,45.9593413003715,46.62337441645725
2023-01-31,47.030258079786876,46.952553,45.9593413003715,46.605305402023625
